"concept_name","source_concept_id","source_vocabulary_id","source_domain_id","source_concept_class_id","standard_concept","concept_code","valid_start_date","valid_end_date","invalid_reason","target_concept_id","relationship_id","reverse_relationship_id","relationship_valid_start_date","relationship_end_date","invalid_reason_cr"
"Rabeprazole sodium 20 MG [Aciphex]","2000010097","mimiciv_drug_ndc","Drug","Prescription Drug",,"Aciphex 20 mg","1970-01-01","2099-12-31",,"40163287","Maps to","Mapped from","1970-01-01","2099-12-31",
"Famotidine 20 MG","2000010098","mimiciv_drug_ndc","Drug","Prescription Drug",,"Famotidine 20mg Premix Bag","1970-01-01","2099-12-31",,"953120","Maps to","Mapped from","1970-01-01","2099-12-31",
"ropinirole 4 MG [Requip]","2000010099","mimiciv_drug_ndc","Drug","Prescription Drug",,"Requip XL 4","1970-01-01","2099-12-31",,"19023243","Maps to","Mapped from","1970-01-01","2099-12-31",
"Sodium Chloride Prefilled Syringe","2000010100","mimiciv_drug_ndc","Drug","Prescription Drug",,"Syringe (0.9% Sodium Chloride) 1 Syringe","1970-01-01","2099-12-31",,"40141424","Maps to","Mapped from","1970-01-01","2099-12-31",
"leflunomide 20 MG","2000010101","mimiciv_drug_ndc","Drug","Prescription Drug",,"Leflunomide 20 mg","1970-01-01","2099-12-31",,"1101926","Maps to","Mapped from","1970-01-01","2099-12-31",
"aluminum hydroxide / magnesium hydroxide / simethicone Oral Suspension","2000010102","mimiciv_drug_ndc","Drug","Prescription Drug",,"mylanta 1","1970-01-01","2099-12-31",,"40007739","Maps to","Mapped from","1970-01-01","2099-12-31",
"pegfilgrastim 10 MG/ML [Neulasta]","2000010103","mimiciv_drug_ndc","Drug","Prescription Drug",,"Neulasta 6","1970-01-01","2099-12-31",,"19120970","Maps to","Mapped from","1970-01-01","2099-12-31",
"cornstarch","2000010104","mimiciv_drug_ndc","Drug","Prescription Drug",,"Corn Starch (Bulk) 35gm","1970-01-01","2099-12-31",,"40230159","Maps to","Mapped from","1970-01-01","2099-12-31",
"rivastigmine 0.396 MG/HR [Exelon]","2000010105","mimiciv_drug_ndc","Drug","Prescription Drug",,"Exelon 9.5 mg/24 hour Transderm 24 hr Patch","1970-01-01","2099-12-31",,"19127050","Maps to","Mapped from","1970-01-01","2099-12-31",
"Norepinephrine 1 MG/ML","2000010106","mimiciv_drug_ndc","Drug","Prescription Drug",,"Norepinephrine 4MG/4ML AMP","1970-01-01","2099-12-31",,"1321364","Maps to","Mapped from","1970-01-01","2099-12-31",
"efavirenz / emtricitabine / tenofovir disoproxil Oral Tablet [Atripla]","2000010107","mimiciv_drug_ndc","Drug","Prescription Drug",,"ATRIPLA 1","1970-01-01","2099-12-31",,"40134708","Maps to","Mapped from","1970-01-01","2099-12-31",
"erlotinib 150 MG Oral Tablet [Tarceva]","2000010108","mimiciv_drug_ndc","Drug","Prescription Drug",,"Erlotinib (Tarceva) 150 mg Tab","1970-01-01","2099-12-31",,"40236071","Maps to","Mapped from","1970-01-01","2099-12-31",
"Sodium Bicarbonate","2000010109","mimiciv_drug_ndc","Drug","Prescription Drug",,"Sodium Bicarbonate ","1970-01-01","2099-12-31",,"939506","Maps to","Mapped from","1970-01-01","2099-12-31",
"Ondansetron","2000010110","mimiciv_drug_ndc","Drug","Prescription Drug",,"Ondansetron ","1970-01-01","2099-12-31",,"1000560","Maps to","Mapped from","1970-01-01","2099-12-31",
"Phenytoin sodium 100 MG Oral Capsule [Dilantin]","2000010111","mimiciv_drug_ndc","Drug","Prescription Drug",,"Dilantin (phenytoin sodium ER) 100mg capsule","1970-01-01","2099-12-31",,"40163212","Maps to","Mapped from","1970-01-01","2099-12-31",
"Creatine","2000010112","mimiciv_drug_ndc","Drug","Prescription Drug",,"creatine  800mg","1970-01-01","2099-12-31",,"19071967","Maps to","Mapped from","1970-01-01","2099-12-31",
