gsn,drug_concept_id,drug_source_concept_id
010205,43531858,43531858
010643,43013653,43013653
011085,1377445,1377445
011508,780442,780442
011684,19076045,19076045
011701,46276116,46276116
012158,929549,36030046
012534,35605594,35605594
012981,43014052,46274591
013198,40171288,40171288
013628,19058494,19058494
013703,40238052,40238052
014162,19006446,19006446
014495,44818275,44818275
014782,43012292,46274678
014783,42899841,43013160
015431,42898655,42898655
015666,45775965,45775965
015712,789811,789811
015915,46275516,46275516
016194,40172704,40172704
016236,964775,964775
016295,19102397,19102397
016356,40228662,40228662
016408,1703691,1703691
016639,1383851,1383851
016770,19057996,19057996
017097,1593331,1593331
017108,932233,932233
017120,1592541,1592541
017183,19079183,19079183
017291,793797,793796
017692,35200405,35200404
017928,40171105,40171105
018168,37497426,37497426
018273,40180873,40180873
018751,1536976,1536976
018804,1201198,1201199
019069,19003927,19003927
019574,746691,746691
019628,1397141,1465010
020313,1536935,37354928
020982,836659,836659
020984,836661,836661
021478,19061069,19061069
021986,793230,793230
022154,19021191,19021191
022548,40226050,40226050
022611,747521,747521
022636,40235896,40235896
023230,19075346,19075346
023697,919527,919527
023719,1465176,1465176
024053,40173590,40173590
024501,19099836,19099836
026869,36250147,36250147
026885,19036117,19036117
029077,19022782,19022782
029079,40165831,40165831
029253,40171417,40171417
031465,35605653,35605653
032492,40222834,40222834
034017,19131441,19131441
035571,19023093,19023093
036056,743719,743719
039517,19030421,19030421
039552,19075391,19075391
040780,19058553,19058553
041027,785815,785815
041413,40162614,40162614
041433,40177228,40177228
041729,40174166,40174166
042668,19131877,19131877
042684,19079928,19079928
043332,19067090,19067090
043521,19099128,19099128
044210,40167439,40167439
044981,1351624,1351624
045032,19067001,19067001
045608,1789277,1789277
045655,19067048,19067048
046215,755739,755739
046256,40238423,40238423
046992,42799080,42799080
047041,35604147,35604147
047061,19096751,19096751
047134,953112,953112
047922,42629465,42629465
048468,42902120,42902120
048754,19134034,19134034
048939,43526528,43526528
049715,40226131,40226131
050172,964276,964276
050221,40169320,40169320
050409,19096756,19096756
050582,19133753,19133753
050783,43011809,43011809
051264,929153,929153
052248,35605845,35605845
052773,40174526,40174526
052909,42707729,42707729
052998,789885,789885
053088,42902009,42902009
053184,938466,938466
053608,19020398,19020398
053980,40228228,40228228
054013,40231707,40231707
057989,789719,789719
058026,19135093,19135093
058286,907208,907208
058416,35605833,35605833
058591,1131757,1131757
058667,35603698,35603698
058915,40174364,40174364
059455,40236712,40236712
059734,19121239,19121239
059782,19131446,19131446
059804,46287467,46287467
060019,19028250,19028250
060031,40227565,40227565
060092,1137426,1137426
060274,19133844,19133844
060453,40166137,40166137
060577,19023557,19023557
060601,35603143,35603143
061115,19124424,19124424
061356,19131481,19131481
061679,42708218,42708218
062174,35604259,35604259
062478,902199,902199
062533,40175289,40175289
062734,19126712,19126712
062863,35603183,35603183
062867,19135276,19135276
062960,1548968,1548968
063177,19126620,19126620
